id,material_id,energy,energy_per_atom,formation_energy_per_atom,elasticity.K_VRH,name
183,mp-25587,-19.50799602,-4.876999005,-1.372980107,71,183
184,mp-2620,-23.37694097,-5.844235243,-0.829146495,92,184
185,mp-27257,-47.4972148,-2.968575925,-0.387559555,1,185
186,mp-27505,-66.87573391,-6.687573391,0.000186635,105,186
187,mp-27638,-8.89573616,-2.965245387,-0.022632077,14,187
188,mp-27705,-19.76439718,-3.294066197,-0.213654076,33,188
189,mp-27830,-26.78338065,-2.975931183,-1.552617619,23,189
190,mp-27891,-53.2592906,-5.32592906,-1.378498347,44,190
191,mp-27979,-31.38994638,-3.923743298,-1.546734723,6,191
192,mp-28163,-30.14427793,-4.306325419,-2.437827509,24,192
193,mp-28232,-132.2129953,-8.263312204,-3.436396086,162,193
194,mp-28369,-35.05760219,-3.505760219,-0.387645701,1,194
195,mp-28698,-45.3463519,-5.038483544,-1.586263065,14,195
196,mp-28722,-28.01373923,-3.112637692,-0.830416214,3,196
197,mp-28782,-65.87366821,-4.117104263,-1.21186497,24,197
198,mp-29076,-76.29983005,-9.537478756,-0.204386785,224,198
199,mp-29175,-37.69477267,-4.711846584,-0.905526784,59,199
200,mp-29484,-17.13562754,-2.447946791,-0.43905523,15,200
201,mp-2960,-141.0783899,-7.837688329,-0.741691892,147,201
202,mp-29641,-44.58045255,-3.715037713,-0.120319673,21,202
203,mp-29666,-19.07310746,-3.814621492,-0.303552272,14,203
204,mp-29748,-43.23203612,-3.602669677,-0.321404032,25,204
205,mp-30068,-17.44797817,-5.815992723,0.418424301,5,205
206,mp-30079,-10.33519993,-2.583799983,-0.153743403,39,206
207,mp-30337,-65.30120464,-5.441767053,-0.160766117,124,207
208,mp-30344,-10.57082976,-2.64270744,-0.292192817,27,208
209,mp-3038,-26.60740321,-3.801057601,-0.689853803,32,209
210,mp-30403,-12.44521905,-3.111304763,-0.410225563,58,210
211,mp-30419,-22.75836695,-5.689591738,-0.23172472,95,211
212,mp-30435,-10.04774883,-1.674624805,-0.195327458,27,212
213,mp-30598,-31.00587416,-3.87573427,-0.432414799,47,213
214,mp-30816,-14.88314863,-3.720787158,-0.535810038,68,214
215,mp-30943,-41.05179354,-4.105179354,-0.605596112,12,215
216,mp-30954,-38.39800805,-2.399875503,-0.499846224,1,216
217,mp-30999,-9.31841941,-3.106139803,-0.903836929,7,217
218,mp-31093,-61.96524767,-6.196524767,-0.76279021,102,218
219,mp-31142,-9.5599521,-3.1866507,-0.286686302,38,219
220,mp-31184,-41.98139196,-6.99689866,-0.102175357,117,220
221,mp-31301,-60.05506913,-3.753441821,-0.290973396,62,221
222,mp-31330,-50.94568338,-5.660631487,-0.707852653,89,222
223,mp-314,-69.9305762,-6.99305762,-0.697738018,85,223
224,mp-31516,-173.7375585,-7.897161749,-2.070916666,23,224
225,mp-3166,-44.59519073,-8.919038146,-0.775976454,184,225
226,mp-32,-9.23502326,-4.61751163,0,59,226
227,mp-3574,-21.6283775,-5.407094375,-0.130670465,124,227
228,mp-3660,-274.1974473,-7.616595759,-2.819326635,82,228
229,mp-3721,-86.92802859,-8.692802859,-3.816070373,159,229
230,mp-3762,-42.76813611,-5.346017014,-0.937025058,39,230
231,mp-37657,-126.8718255,-7.048434748,-3.42064517,95,231
232,mp-3830,-62.22755983,-5.185629986,-0.54852341,109,232
233,mp-3834,-41.44471339,-8.288942678,-3.648209105,149,233
234,mp-384,-49.5676689,-4.95676689,-0.306759018,58,234
235,mp-3895,-35.75119257,-7.150238514,-1.128996654,161,235
236,mp-3931,-39.38483307,-6.564138845,-3.360398019,98,236
237,mp-395,-43.4643255,-5.433040688,-0.486933658,103,237
238,mp-398,-15.75862907,-3.939657268,-0.526733627,99,238
239,mp-3999,-34.60051908,-6.920103816,-1.029169539,142,239
240,mp-4006,-96.20247339,-8.016872783,-3.52297736,136,240
241,mp-4079,-34.93516323,-6.987032646,-0.593082053,102,241
242,mp-415,-97.174196,-8.097849667,0.149941932,339,242
243,mp-4233,-29.64493254,-4.94082209,-0.140453756,30,243
244,mp-4283,-52.0076675,-6.500958438,-1.037534406,129,244
245,mp-4287,-175.7407894,-6.276456764,-2.797325427,106,245
246,mp-4343,-30.42941826,-6.085883652,-0.219901589,54,246
247,mp-4428,-224.0357139,-7.467857129,-3.43588717,75,247
248,mp-4552,-16.81052384,-4.20263096,-0.323250493,101,248
249,mp-4595,-33.36956622,-8.342391555,-0.481306329,246,249
250,mp-4767,-42.81838812,-8.563677624,-0.716769751,161,250
251,mp-4822,-32.42912758,-6.485825516,-0.952659547,132,251
252,mp-4875,-130.2895459,-10.85746216,-3.704701923,140,252
253,mp-489,-84.61648783,-5.641099189,-0.179403801,109,253
254,mp-5025,-71.61659392,-8.95207424,-1.503284003,165,254
255,mp-505249,-69.84216052,-6.984216052,-1.024201337,153,255
256,mp-505319,-99.42955098,-3.551055392,-1.466168462,8,256
257,mp-505822,-100.2002494,-8.350020784,-0.819076583,191,257
258,mp-510380,-40.43809245,-8.08761849,-0.180258836,160,258
259,mp-5152,-267.3197875,-8.35374336,-3.788276834,98,259
260,mp-540924,-80.43641118,-4.021820559,-0.458493926,6,260
261,mp-541013,-35.26296582,-3.526296582,-0.728078762,2,261
262,mp-541014,-37.30982561,-2.664987544,-0.90353841,8,262
263,mp-546350,-49.8376202,-6.229702525,-2.371267579,68,263
264,mp-549475,-49.86183743,-6.232729679,-2.354381269,65,264
265,mp-549970,-68.44994731,-6.844994731,-2.543402505,130,265
266,mp-5503,-111.813227,-9.317768917,-3.749791591,158,266
267,mp-555296,-99.30835907,-8.275696589,-3.212357518,103,267
268,mp-555763,-21.02953582,-3.504922637,-1.138697401,69,268
269,mp-557233,-63.20117488,-5.266764573,-3.301859692,45,269
270,mp-558125,-240.251746,-8.008391534,-3.498187519,102,270
271,mp-562809,-59.07913972,-7.384892465,-2.326324538,57,271
272,mp-567197,-32.48455395,-5.414092325,-0.836675266,78,272
273,mp-567458,-39.13272075,-7.82654415,-1.034992387,160,273
274,mp-567504,-39.46683085,-4.933353856,-1.559147114,16,274
275,mp-567510,-11.69102235,-3.89700745,-0.59582052,33,275
276,mp-567891,-11.25205098,-3.75068366,-0.272949886,57,276
277,mp-568139,-16.79168719,-4.197921798,-0.681024293,76,277
278,mp-568424,-44.42664631,-3.702220526,-0.695913824,67,278
279,mp-568914,-38.40547963,-4.267275514,-1.744827712,12,279
280,mp-5690,-211.1718448,-10.55859224,-3.92947469,162,280
281,mp-569151,-36.7980876,-6.1330146,-0.046113233,122,281
282,mp-569265,-26.33931706,-3.292414633,-0.577015768,71,282
283,mp-569391,-41.43853661,-5.179817076,-2.102503686,8,283
284,mp-569458,-143.6209765,-8.976311033,-0.506897287,219,284
285,mp-569837,-116.4526914,-7.278293211,-0.324753685,110,285
286,mp-569974,-32.09085264,-6.418170528,-0.987298821,128,286
287,mp-570122,-39.11515238,-5.587878911,0.345313393,30,287
288,mp-570136,-35.58219243,-2.965182703,-0.153574835,10,288
289,mp-570657,-14.67015853,-2.445026422,0.427367741,44,289
290,mp-570963,-125.8713312,-10.4892776,-0.101320196,243,290
291,mp-571143,-39.7695008,-4.9711876,-2.057036157,5,291
292,mp-571438,-55.28001377,-4.252308752,-0.101900248,130,292
293,mp-574283,-20.04225598,-10.02112799,-1.411416405,75,293
294,mp-580226,-15.50630488,-3.87657622,-0.079017146,23,294
295,mp-582,-51.988977,-8.6648295,-0.794846168,258,295
296,mp-582736,-25.41469666,-5.082939332,-0.734172436,39,296
297,mp-5924,-70.61987965,-7.061987965,-3.110531369,191,297
298,mp-5929,-127.9824905,-3.55506918,-0.419028817,30,298
299,mp-593,-218.3214026,-4.198488511,-0.20809133,129,299
300,mp-5938,-32.75666547,-5.459444245,-1.688629078,94,300
301,mp-602,-35.90915732,-5.984859553,-0.274113887,16,301
302,mp-604914,-27.37258243,-6.843145608,-0.554011784,24,302
303,mp-605034,-35.67331055,-3.963701172,-2.36815445,16,303
304,mp-613327,-98.77920406,-9.877920406,-0.329054153,319,304
305,mp-615314,-66.37352503,-8.296690629,-0.323108994,201,305
306,mp-617,-17.35834128,-5.78611376,-0.932034211,48,306
307,mp-6174,-437.3291977,-7.540158581,-3.343088689,122,307
308,mp-6178,-52.64195102,-5.264195102,-3.332239369,17,308
309,mp-620571,-48.12598857,-4.010499048,-0.701287913,61,309
310,mp-626794,-98.7522786,-4.93761393,-1.220288718,19,310
311,mp-631318,-23.24030512,-5.81007628,1.003681076,110,311
312,mp-631449,-13.55089871,-4.516966237,1.318404763,51,312
313,mp-631464,-8.69848426,-2.899494753,0.740745087,42,313
314,mp-635,-30.85275825,-7.713189563,-0.626190116,184,314
315,mp-641539,-221.0445058,-7.894446635,-1.025866533,255,315
316,mp-643009,-38.26054595,-3.188378829,-0.48082486,38,316
317,mp-644751,-68.13265305,-8.516581631,-1.200650217,303,317
318,mp-6669,-298.6122381,-7.109815193,-3.440491402,75,318
319,mp-672,-12.64802758,-3.162006895,-0.972410572,53,319
320,mp-675009,-138.6661118,-5.333311992,-1.094087935,49,320
321,mp-675402,-17.68561401,-4.421403503,-0.565636836,105,321
322,mp-680671,-83.61149204,-1.520208946,-0.138044591,61,322
323,mp-6908,-30.63055205,-3.403394672,-0.295917613,55,323
324,mp-6959,-31.9824635,-4.568923357,-0.893500342,20,324
325,mp-7089,-17.19463354,-2.865772257,-0.58700744,23,325
326,mp-7143,-46.03725358,-9.207450716,-3.422692111,114,326
327,mp-7189,-43.01400248,-5.37675031,-0.915718925,148,327
328,mp-7228,-106.6227027,-8.885225221,-1.906605847,277,328
329,mp-7285,-88.32587833,-7.360489861,-0.536327318,181,329
330,mp-7288,-83.73011811,-8.373011811,-3.447160008,140,330
331,mp-7298,-22.52624437,-4.505248874,-0.318467291,91,331
332,mp-739,-62.69014219,-7.836267774,-1.182098423,139,332
333,mp-7390,-12.21347763,-4.07115921,-0.429657706,27,333
334,mp-743,-53.11234034,-6.639042543,-0.429554884,17,334
335,mp-753490,-35.28191348,-5.880318913,-0.343061867,132,335
336,mp-753669,-89.90754968,-6.91596536,-0.078950478,113,336
337,mp-753774,-26.7699373,-6.692484325,-3.173287255,87,337
338,mp-754138,-51.78323867,-6.472904834,-2.974524796,84,338
339,mp-754165,-75.29941349,-7.529941349,-3.110430263,179,339
340,mp-754826,-55.33804102,-6.917255128,-2.987454524,63,340
341,mp-755252,-56.3495874,-7.043698425,-2.959234815,134,341
342,mp-755465,-103.7435019,-4.715613722,-0.854819927,193,342
343,mp-756473,-58.53777239,-4.878147699,-1.303727659,1,343
344,mp-757100,-20.13246238,-5.033115595,-1.042310499,71,344
345,mp-7595,-58.78625593,-4.898854661,-2.412650695,10,345
346,mp-7600,-38.74099016,-7.748198032,-0.708351304,154,346
347,mp-761568,-57.8995976,-4.824966467,-1.502902742,128,347
348,mp-768479,-90.5531195,-9.05531195,-3.948203916,152,348
349,mp-771199,-89.31738976,-7.443115813,-2.284558372,147,349
350,mp-7739,-46.40848101,-5.15649789,-3.643086438,57,350
351,mp-776456,-268.3331381,-8.944437937,-3.23901752,213,351
352,mp-7777,-23.65955997,-4.731911994,-0.846848679,46,352
353,mp-79,-2.51892121,-1.259460605,0,67,353
354,mp-7938,-48.27292813,-6.034116016,-1.494695086,73,354
355,mp-80,-7.67733684,-3.83866842,0.290331165,60,355
356,mp-801,-87.43951346,-10.92993918,0.011120785,292,356
357,mp-8042,-96.00219748,-8.000183123,-2.975537434,202,357
358,mp-8110,-77.59912453,-7.759912453,-3.127519877,205,358
359,mp-8145,-27.82705566,-6.956763915,-3.005680386,95,359
360,mp-8231,-49.81456349,-8.302427248,-2.880308593,168,360
361,mp-8278,-20.60087301,-4.120174602,-0.932307725,51,361
362,mp-8375,-42.3676067,-8.47352134,-0.677145464,143,362
363,mp-8402,-24.36837454,-4.873674908,-3.50585883,65,363
364,mp-850131,-29.51683821,-4.919473035,-0.67753919,27,364
365,mp-861588,-23.47572494,-5.868931235,-0.135082718,78,365
366,mp-861619,-24.26792262,-6.066980655,-0.742898439,180,366
367,mp-861936,-18.53066795,-4.632666988,-0.273071069,122,367
368,mp-861953,-29.32790657,-7.331976643,-0.609003645,193,368
369,mp-862257,-19.59464079,-4.898660198,-0.599090109,90,369
370,mp-862311,-27.37734753,-6.844336883,-0.602482573,113,370
371,mp-862366,-19.07174729,-4.767936823,-0.303156776,72,371
372,mp-862376,-28.13692793,-7.034231983,-0.253040785,112,372
373,mp-862815,-17.57168248,-4.39292062,-0.69563186,82,373
374,mp-862872,-16.44584974,-4.111462435,-0.57875382,81,374
375,mp-862923,-14.65666466,-3.664166165,-0.372345124,73,375
376,mp-862974,-14.96526847,-3.741317118,-0.601875616,84,376
377,mp-8633,-9.24874738,-9.24874738,0.40430009,241,377
378,mp-8636,-9.78114088,-9.78114088,0.32016416,167,378
379,mp-864743,-8.16941816,-2.04235454,-0.455592978,34,379
380,mp-864787,-26.94817398,-6.737043495,-0.238094025,63,380
381,mp-864796,-13.37006581,-3.342516453,-0.391140379,27,381
382,mp-864804,-8.9415205,-2.235380125,-0.447743377,52,382
383,mp-864840,-30.92774097,-7.731935243,-0.254549276,218,383
384,mp-864919,-27.31122744,-6.82780686,-0.785564891,163,384
385,mp-864931,-62.93936347,-5.244946956,0.026230213,119,385
386,mp-864935,-26.04384684,-3.255480855,-0.400845721,112,386
387,mp-864936,-33.40923677,-8.352309193,-0.270310112,228,387
388,mp-864938,-14.63716798,-1.829645998,-0.04156083,36,388
389,mp-864945,-25.6633573,-6.415839325,-0.42041606,176,389
390,mp-864954,-65.17131802,-8.146414753,-1.059545895,246,390
391,mp-865011,-32.93579711,-8.233949278,-0.191375825,190,391
392,mp-865108,-8.09509651,-2.023774128,-0.364483247,43,392
393,mp-865170,-27.94240338,-6.985600845,-0.441999325,192,393
394,mp-865321,-30.262868,-7.565717,-0.777036858,137,394
395,mp-865373,-27.93761434,-6.984403585,-0.197207359,54,395
396,mp-865403,-47.05937138,-4.705937138,-0.749529944,82,396
397,mp-865459,-22.91064093,-5.727660233,-0.440455431,101,397
398,mp-865531,-31.30813707,-7.827034268,-0.336023865,157,398
399,mp-865562,-21.82945897,-5.457364743,-0.334207816,182,399
400,mp-865586,-32.54124811,-8.135312028,-0.47050595,239,400
401,mp-865611,-24.74992639,-6.187481598,-0.284375448,182,401
402,mp-865630,-12.82436062,-3.206090155,-0.573782347,40,402
403,mp-865713,-11.56967019,-2.892417548,-0.375938796,32,403
404,mp-865790,-6.71094764,-1.67773691,-0.453102649,43,404
405,mp-865904,-29.49402142,-7.373505355,-0.663589265,344,405
406,mp-865920,-10.17197492,-2.54299373,-0.340729029,49,406
407,mp-865929,-16.0457197,-4.011429925,-0.205974218,137,407
408,mp-866014,-9.50270177,-2.375675443,-0.54457463,48,408
409,mp-866075,-33.35667607,-8.339169018,-0.556285508,215,409
410,mp-866179,-11.9798625,-2.994965625,-0.258055166,38,410
411,mp-866180,-10.72101163,-2.680252908,-0.412745275,29,411
412,mp-866199,-7.46107436,-3.73053718,-0.253685148,44,412
413,mp-866288,-28.21068519,-7.052671298,-0.293070141,193,413
414,mp-866291,-5.20411555,-2.602057775,-0.367329977,28,414
415,mp-867137,-35.79843726,-8.949609315,-0.458708441,195,415
416,mp-867167,-9.42582436,-2.35645609,-0.289080779,64,416
417,mp-867242,-19.03590234,-4.758975585,-0.520853401,78,417
418,mp-867287,-12.83615678,-3.209039195,-0.406946779,56,418
419,mp-867310,-19.12164892,-4.78041223,-0.662125426,80,419
420,mp-8675,-22.69001945,-2.836252431,-0.096194451,104,420
421,mp-867887,-24.29693209,-6.074233023,-0.480982512,111,421
422,mp-867895,-23.74347309,-5.935868273,-0.233628089,73,422
